lag_days,corr
-14,0.019062833763160803
-13,0.011809717608356664
-12,0.024849067548321502
-11,0.01462270296833399
-10,0.015686019603957973
-9,0.018425543781911222
-8,0.027609275755273194
-7,0.022017840126345858
-6,0.018377510629146665
-5,0.023148894514473283
-4,0.021362975587049915
-3,0.030248747538790647
-2,0.03285557020949912
-1,0.037977658365344204
0,0.042746919611511926
1,0.21256577195712506
2,0.18512247844484395
3,0.18635123092460015
4,0.17395199263474082
5,0.17116989813464478
6,0.1654481357040081
7,0.16690386406847918
8,0.15483698182958072
9,0.1321252027961089
10,0.13719850517002774
11,0.14339547544616071
12,0.1366784170021413
13,0.13019853838819834
14,0.13492677842592044
